,key,rating,valid_from,valid_to
102,Monster,1490.2960185560382,2019-04-12,
103,Miracle Smile,1500.0,2017-09-23,2019-04-12
104,Miracle Smile,1489.704219977929,2019-04-12,
105,Harlekin,1500.0,2017-09-23,2018-01-06
106,Harlekin,1510.0,2018-01-06,2018-01-06
107,Harlekin,1500.0,2018-01-06,2018-03-17
108,Harlekin,1510.2794684162,2018-03-17,2018-03-17
109,Harlekin,1519.9836878329522,2018-03-17,2018-03-17
110,Harlekin,1529.4091445059266,2018-03-17,2018-03-17
111,Harlekin,1538.5646971432461,2018-03-17,2018-04-12
112,Harlekin,1547.184275946325,2018-04-12,2018-04-12
113,Harlekin,1556.1348771533421,2018-04-12,2018-04-12
114,Harlekin,1564.2462664153895,2018-04-12,2018-04-12
115,Harlekin,1552.4263488552454,2018-04-12,2019-04-12
116,Harlekin,1561.4881881643237,2019-04-12,2019-04-12
117,Harlekin,1569.4827403737027,2019-04-12,2019-04-12
118,Harlekin,1577.494594257407,2019-04-12,2019-04-12
119,Harlekin,1585.300387774967,2019-04-12,
120,Yosh,1500.0,2017-09-23,2018-04-07
121,Yosh,1489.7285623833018,2018-04-07,
122,Sasha,1500.0,2017-09-23,2023-06-24
123,Sasha,1489.9997618300179,2023-06-24,
124,Flying Machine,1500.0,2017-09-23,2018-09-01
125,Flying Machine,1510.0,2018-09-01,2018-09-01
126,Flying Machine,1520.0082819270542,2018-09-01,2018-09-01
127,Flying Machine,1529.433033064664,2018-09-01,2018-09-01
128,Flying Machine,1539.4991782352154,2018-09-01,
129,Killa Pain,1500.0,2017-09-23,2018-04-12
130,Killa Pain,1490.348800168233,2018-04-12,
131,Beggin Bin,1500.0,2017-09-23,2017-12-09
132,Beggin Bin,1489.7207695679235,2017-12-09,
133,Cicov,1500.0,2017-09-23,2018-04-12
134,Cicov,1510.0,2018-04-12,2018-04-12
135,Cicov,1499.4169719427493,2018-04-12,2019-03-15
136,Cicov,1489.4337528234155,2019-03-15,2019-03-23
137,Cicov,1499.7297504309347,2019-03-23,2019-03-23
138,Cicov,1489.73752883723,2019-03-23,2019-03-23
139,Cicov,1500.0328206274912,2019-03-23,2019-04-12
140,Cicov,1510.0235940475666,2019-04-12,2019-04-12
141,Cicov,1519.7351718365592,2019-04-12,2019-04-12
142,Cicov,1510.6733325274809,2019-04-12,2019-04-12
143,Cicov,1520.9563805462174,2019-04-12,
144,Shao,1500.0,2017-09-23,2020-05-23
145,Shao,1490.0,2020-05-23,
146,Thomaz,1500.0,2017-09-23,2019-04-12
147,Thomaz,1510.0082819270542,2019-04-12,2019-04-12
148,Thomaz,1520.0080435540322,2019-04-12,2019-04-12
149,Thomaz,1530.29554906737,2019-04-12,2019-04-12
