,key,rating,valid_from,valid_to
1502,Murda Ron,1489.8383098823756,2022-10-21,
1503,Saidon,1500.0,2017-05-11,2019-03-16
1504,Saidon,1489.9997618300179,2019-03-16,
1505,Marko,1500.0,2017-05-11,2017-12-02
1506,Marko,1509.71225631668,2017-12-02,2017-12-02
1507,Marko,1519.7205382437342,2017-12-02,2017-12-02
1508,Marko,1509.7044496160008,2017-12-02,
1509,Soushi,1500.0,2017-05-11,2023-06-25
1510,Soushi,1491.1951621068981,2023-06-25,
1511,Pac Pac,1500.0,2017-05-11,2020-11-28
1512,Pac Pac,1490.28774368332,2020-11-28,2021-10-14
1513,Pac Pac,1480.8654307875304,2021-10-14,2021-10-14
1514,Pac Pac,1491.4156118188544,2021-10-14,
1515,An-M,1500.0,2017-05-11,2017-12-02
1516,An-M,1490.0,2017-12-02,2017-12-02
1517,An-M,1480.28774368332,2017-12-02,2017-12-02
1518,An-M,1470.85450002419,2017-12-02,
1519,Stimul,1500.0,2017-05-11,2022-05-26
1520,Stimul,1489.4778739850317,2022-05-26,2022-05-26
1521,Stimul,1500.0466084436048,2022-05-26,2022-05-26
1522,Stimul,1489.8048233475502,2022-05-26,2022-05-26
1523,Stimul,1480.804864013444,2022-05-26,2022-05-26
1524,Stimul,1473.0921492789762,2022-05-26,
1525,Winnie,1500.0,2017-05-11,2017-12-02
1526,Winnie,1509.43324365913,2017-12-02,2017-12-02
1527,Winnie,1499.7370474626973,2017-12-02,2017-12-02
1528,Winnie,1509.736572289179,2017-12-02,2018-05-20
1529,Winnie,1499.4236469576967,2018-05-20,2018-05-20
1530,Winnie,1490.2711300604335,2018-05-20,2018-05-20
1531,Winnie,1500.3045255355642,2018-05-20,
1532,Ka-G,1500.0,2017-05-11,2019-04-24
1533,Ka-G,1490.0,2019-04-24,
1534,Mowgli,1500.0,2017-05-11,2023-06-16
1535,Mowgli,1510.28774368332,2023-06-16,2023-06-16
1536,Mowgli,1500.2794617562658,2023-06-16,2023-06-16
1537,Mowgli,1510.271418202075,2023-06-16,
1538,Hotan,1500.0,2017-05-11,2017-12-02
1539,Hotan,1510.28774368332,2017-12-02,2017-12-02
1540,Hotan,1519.7044782546952,2017-12-02,2017-12-02
1541,Hotan,1529.6884411151912,2017-12-02,2018-05-20
1542,Hotan,1538.2760798640977,2018-05-20,2018-05-20
1543,Hotan,1527.1880936190269,2018-05-20,2018-05-20
1544,Hotan,1516.648419731168,2018-05-20,2019-06-23
1545,Hotan,1506.1696061099822,2019-06-23,2019-06-23
1546,Hotan,1496.008370222663,2019-06-23,2019-06-23
1547,Hotan,1486.1232535083748,2019-06-23,
1548,Dullart,1500.0,2017-05-11,2023-03-05
1549,Dullart,1490.0,2023-03-05,
1550,Sota,1500.0,2017-05-11,2022-10-21
1551,Sota,1493.8729711641784,2022-10-21,
1552,Blue B,1500.0,2017-05-11,2023-06-07
1553,Blue B,1490.0,2023-06-07,
1554,Willy Roc,1500.0,2017-05-11,2019-04-20
1555,Willy Roc,1489.8220615423118,2019-04-20,2022-10-21
1556,Willy Roc,1480.1286910628464,2022-10-21,2023-02-24
1557,Willy Roc,1473.6106109438601,2023-02-24,
1558,Yoga,1500.0,2017-05-11,2022-10-21
1559,Yoga,1489.7008662615972,2022-10-21,2023-06-07
1560,Yoga,1480.8313213480683,2023-06-07,2023-06-07
1561,Yoga,1471.6613617059022,2023-06-07,2023-06-07
1562,Yoga,1482.4752092733254,2023-06-07,2023-06-07
1563,Yoga,1493.2657831816077,2023-06-07,
1564,Nazgul,1500.0,2017-05-11,2020-04-21
1565,Nazgul,1490.0082819270542,2020-04-21,2020-04-21
1566,Nazgul,1500.295787434553,2020-04-21,2022-10-21
1567,Nazgul,1489.423581066001,2022-10-21,2022-11-05
1568,Nazgul,1480.937017633229,2022-11-05,2023-03-05
